threshold,precision,recall,f1_score
0.91,1.0,0.06818181818181818,0.1276595744680851
0.92,1.0,0.045454545454545456,0.08695652173913043
0.93,1.0,0.045454545454545456,0.08695652173913043
0.9400000000000001,1.0,0.022727272727272728,0.044444444444444446
0.9500000000000001,0.0,0.0,0.0
0.96,0.0,0.0,0.0
0.97,0.0,0.0,0.0
0.98,0.0,0.0,0.0
0.99,0.0,0.0,0.0
1.0,0.0,0.0,0.0
